省份,人数
天津,938
河北,1821
山西,1004
内蒙古,559
辽宁,1160
吉林,542
黑龙江,805
上海,2320
江苏,4412
浙江,3325
安徽,2621
福建,2144
江西,2086
山东,3880
河南,3458
湖北,2987
湖南,2384
广东,10015
广西,2041
海南,393
重庆,1883
四川,3617
贵州,587
云南,788
西藏,64
陕西,1680
甘肃,413
青海,71
宁夏,157
新疆,467
台湾,234
香港,314
澳门,73
北京,5575
海外,3075
None,395916
